Designator,Mid X,Mid Y,Rotation,Layer
BT1,147.375,-62.235,0.0,top
C1,133.025,-69.5,90.0,top
C2,135.525,-69.5,90.0,top
C3,130.975,-65.5,0.0,top
C4,138.0,-72.525,90.0,top
D1,142.845,-71.25,180.0,top
D2,142.845,-69.5,180.0,top
D3,142.845,-67.75,180.0,top
D4,142.845,-66.0,180.0,top
D5,122.845,-76.5,0.0,top
L1,124.5,-63.0,180.0,top
R1,119.0,-73.9625,270.0,top
R2,119.0,-68.5375,90.0,top
R3,134.0375,-73.5,0.0,top
R4,127.9625,-76.5,0.0,top
SW1,142.0,-76.5,180.0,top
U1,128.5,-70.91,180.0,top
USB1,112.47,-71.3,270.0,top
